iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness,NewStress,NewModulus,NewToughness,NewFormulationId
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,440.8081071132510,1.0691593251153100,56891.86519009030,225
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,334.3741003565580,1.191482711207810,50105.06689039540,226
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,367.87455023249300,2.5101394467366000,74164.32928230930,227
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,387.31223728534100,1.0102681859471700,50446.75890657010,228
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,429.6675504277920,1.1422873862872600,56504.36773122280,229
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,473.20972346074400,2.476579111379590,87890.48575743030,230
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,194.22839226452600,2.281175209990390,45267.7395012425,231
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,367.05733678986300,0.8543967417395560,47955.92084721230,232
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,474.52104523340000,1.1563671253503700,58958.44775871040,233
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,318.66075503667800,2.5712519782092100,66446.33670294180,234
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,334.6866754521930,2.4638480112191800,69176.16783282940,235
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,431.34432507415200,1.1367914630857000,55983.14160825750,236
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0,386.44013710926100,1.1862905684351600,52961.89165286330,237
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,382.01868944586400,2.5832886922626800,77291.48220058960,238
32,200,0.15,0,0,0,0,0.85,218.558044,2.48795414,52300.0598,286.425834,2.52276679,61180.0196,394.0679522694040,2.4406788462232400,79127.35216869160,239
32,207,0.53,0,0,0,0.33,0.14,190.991249,2.08580813,47180.9519,336.405253,2.10610618,69590.7437,339.9278583635150,0.45257537429933900,56708.24331805950,240
