Formulation,maxStrain,cv,maxStress,cv,modulus,cv,toughness,cv,PercentOpen,Pressure,A,B,C,D,E,F,proposed stress,proposed modulus,proposed toughness,hypervolume improvement,stress Err,modulus Err,toughness Err
25,541.5609374999999,0.011165692198115468,454.7535340081455,0.07793055423863167,1.366241160716048,0.07493282122269566,68112.81554188656,0.05748972020712127,75,80,0,0.18,0.21,0.28,0.2,0.13,0,0,0,0,0,0,0
26,396.4021875,0.05843715903085309,279.90444476574123,0.1613500550662686,2.113304384274213,0.040334840916948306,51731.0693474202,0.1381768197073266,70,80,0,0.02,0.38,0.04,0.29,0.27,0,0,0,0,0,0,0
27,569.3803125,0.020309127162046938,469.5247156498169,0.08933006917284378,1.757774679927746,0.04904377382643175,77876.90263700316,0.046277237047773534,70,80,0.19,0.3,0.1,0.06,0.07,0.28,0,0,0,0,0,0,0
28,524.68625,0.01967070782198488,440.0425659693035,0.10394911292383174,1.9634346673514775,0.02954225814118195,76654.91175869902,0.07495653261100305,75,80,0.08,0.16,0.14,0.04,0.19,0.39,0,0,0,0,0,0,0
29,545.78375,0.037776469678484734,365.6046572665043,0.10765760722983048,1.2302889995899315,0.0717908596983134,62118.02427896032,0.07791074145790636,80,80,0.34,0.06,0.23,0.16,0.19,0.02,0,0,0,0,0,0,0
30,599.065625,0.03502325696254888,410.9856127796982,0.17811341733144342,1.119048506770263,0.07456991433501027,66049.65543234072,0.10688362973631618,80,80,0.14,0.1,0.07,0.2,0.27,0.22,0,0,0,0,0,0,0
31,286.56125000000003,0.10293941258921654,136.16563381148887,0.1484640945056354,0.8962169244765325,0.03483987112042614,22268.563850061026,0.17026167077408283,55,80,0.07,0.07,0.32,0.21,0.03,0.3,0,0,0,0,0,0,0
32,532.6553124999999,0.03482192602871651,369.00875568128066,0.13112091391946504,1.3141569526293926,0.1015871023691624,61644.36425113247,0.07946352567043986,70,80,0.02,0.01,0.27,0.13,0.49,0.08,0,0,0,0,0,0,0
33,669.6822028498609,0.005868735682881229,533.9811318347084,0.017714682946974987,0.8967628047231293,0.018675783805297327,68784.76114330732,0.01445995529599713,85,80,0.09,0.32,0.03,0.13,0.37,0.06,0,0,0,0,0,0,0
34,710.0870299157795,0.0019549539543500492,442.6767740597503,0.08251645274516561,0.7256556327174887,0.08865153014133975,59416.21311924867,0.060247857314170025,75,80,0.08,0.21,0.02,0,0.61,0.08,0,0,0,0,0,0,0
35,634.7359377368929,0.026309681424383734,507.42567974489407,0.13284453761700218,0.9821739972144867,0.017635789078368363,66650.96293093562,0.09354289536342582,75,80,0.09,0.32,0.04,0.21,0.17,0.17,0,0,0,0,0,0,0
37,603.189156564438,0.025651961696037274,443.6007804844568,0.12553705893668776,1.1183578248126314,0.07534770079362828,65323.09068089674,0.1021813283218835,80,80,0.14,0.3,0.07,0.1,0.25,0.14,0,0,0,0,0,0,0
39,593.1931557908042,0.011545526221120938,489.5898964735655,0.0942090149942116,1.3294437337930065,0.07654419202318702,72483.99127897923,0.07767487787831931,75,80,0.04,0.17,0.07,0.22,0.24,0.26,0,0,0,0,0,0,0
41,479.1074339288964,0.1126162630059372,359.33333486242617,0.3314599791625459,1.7334977205284727,0.044411410303556484,60280.14868785074,0.2657189228884716,75,80,0.17,0.15,0.28,0.29,0,0.11,0,0,0,0,0,0,0
42,598.1786392405063,0.01943459912434667,485.24615544466826,0.14064819580801535,0.8864845676972939,0.21785704881530255,66192.41082131705,0.12958388476501148,70,80,0.1,0.14,0.14,0.26,0.27,0.09,0,0,0,0,0,0,0
43,714.3462263733313,0.005491532746135694,228.9585405957126,0.027637313323253337,0.7283803350219635,0.02611322925760351,49588.20844902147,0.03418499065799353,80,80,1,0,0,0,0,0,0,0,0,0,0,0,0
44,615.6053211209721,0.019808980975655685,435.65761793649887,0.1682289710673847,1.1747782931893749,0.01070411016232176,60782.15270637155,0.09064677080710253,80,80,0,1,0,0,0,0,0,0,0,0,0,0,0
