iterID,A,B,C,D,E,F,Pareto_Stress,Pareto_Modulus,Pareto_Toughness
2,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
2,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
2,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
2,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
2,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
2,0,0,0,0,0,1,307.5914,2.9333,68673.8814
3,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
3,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
3,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
3,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
3,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
3,0,0,0,0,0,1,307.5914,2.9333,68673.8814
4,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
4,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
4,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
4,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
4,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
4,0,0,0,0,0,1,307.5914,2.9333,68673.8814
4,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
4,0.32,0,0.12,0.01,0,0.55,407.4563,1.7142,79298.8675
4,0.01,0,0.15,0.25,0,0.59,345.4445,2.2639,66935.485
6,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
6,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
6,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
6,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
6,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
6,0,0,0,0,0,1,307.5914,2.9333,68673.8814
6,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
6,0.32,0,0.12,0.01,0,0.55,407.4563,1.7142,79298.8675
6,0.01,0,0.15,0.25,0,0.59,345.4445,2.2639,66935.485
7,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
7,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
7,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
7,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
7,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
7,0,0,0,0,0,1,307.5914,2.9333,68673.8814
7,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
7,0.32,0,0.12,0.01,0,0.55,407.4563,1.7142,79298.8675
7,0.01,0,0.15,0.25,0,0.59,345.4445,2.2639,66935.485
7,0.49,0.06,0,0.14,0.02,0.29,463.1094,1.39,81856.9346
8,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
8,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
8,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
8,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
8,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
8,0,0,0,0,0,1,307.5914,2.9333,68673.8814
8,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
8,0.01,0,0.15,0.25,0,0.59,345.4445,2.2639,66935.485
8,0.49,0.06,0,0.14,0.02,0.29,463.1094,1.39,81856.9346
8,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
8,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
8,0.29,0.45,0.06,0.08,0.12,0,593.8157,1.0758,82484.6477
9,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
9,0.5,0.5,0,0,0,0,595.9865,1.0313,80252.0073
9,0.4,0.6,0,0,0,0,603.0115,1.0486,79494.8772
9,0.27,0.44,0.09,0.04,0.08,0.08,536.4679,1.3385,83057.1828
