iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
2,0.2609,0.5043,0.0379,0.005,0.1528,0.0012,595.747,1.0152,83248.7001,-1
2,0.0052,0.0245,0.0829,0,0.0052,0.7992,370.5898,3.5282,70581.989,-1
2,0.025,0.3707,0.0113,0.0006,0.0085,0.5726,636.1684,2.1027,62604.6529,-1
2,0.3783,0.1116,0.001,0.1102,0.0672,0.3305,498.9854,1.4348,94720.909,-1
2,0.0048,0.3723,0.0113,0,0.0033,0.597,634.6595,2.2855,62468.7954,-1
2,0.0046,0.0606,0.0293,0.0132,0.093,0.7698,385.5247,3.394,72182.4304,-1
2,0.0044,0.1148,0.0251,0.4836,0.0154,0.3317,523.1098,2.5432,90282.8952,-1
2,0.0012,0.2689,0.0009,0.0001,0.0008,0.7271,506.4328,3.1251,70354.0205,-1
2,0.0184,0.0998,0.0405,0.0008,0.0028,0.7972,409.9736,3.5017,71967.4074,-1
2,0.2301,0.0788,0.0011,0.3393,0.008,0.3415,484.806,2.2629,94434.5251,-1
2,0.0137,0.1065,0.045,0,0.0041,0.7857,417.1481,3.4889,72062.3295,-1
2,0.0138,0.117,0.0376,0,0.0041,0.79,426.1956,3.4884,72078.4466,-1
2,0.1333,0.1153,0.0025,0.3906,0.0204,0.3355,527.5467,2.4486,93891.8393,-1
2,0.0016,0.2621,0,0.0006,0.0052,0.7305,503.0758,3.1458,70509.102,-1
2,0.3552,0.4928,0.0539,0.0152,0,0.029,590.044,1.197,85739.0454,-1
2,0.3001,0.4972,0.0256,0.0788,0.0424,0.0304,597.0123,1.2186,81730.2782,-1
2,0.2595,0.3088,0.0031,0.0864,0.0088,0.3303,552.3516,1.586,89804.235,-1
2,0.007,0.0491,0.0651,0.0021,0.0043,0.8074,377.1203,3.5269,71274.0601,-1
2,0.0018,0.2696,0.001,0.0001,0.0033,0.7232,507.7196,3.0992,70127.813,-1
2,0.0015,0.2887,0,0.0014,0.0014,0.7069,524.8704,2.9821,69027.4891,-1
2,0.3873,0.6023,0.0035,0,0.0034,0,602.888,1.0492,79559.1675,-1
2,0.0068,0.1206,0.0394,0.0015,0.0206,0.7718,431.837,3.4425,72115.4952,-1
2,0.3062,0.4912,0.0385,0.0133,0.0866,0.0257,595.0981,1.1181,83550.4215,-1
2,0.063,0.357,0.0025,0.2557,0.0077,0.3116,568.7058,1.774,87306.2422,-1
2,0.3604,0.4986,0.0546,0.0025,0,0.0294,588.8735,1.1635,86021.0392,-1
2,0.0018,0.1914,0.017,0.0044,0.0055,0.7629,466.7406,3.3691,71798.6312,-1
2,0.0035,0.1089,0.0352,0.0015,0.0335,0.7823,421.0979,3.4655,72163.9868,-1
2,0.0023,0.1543,0.0057,0.4715,0.0144,0.3459,547.5216,2.536,92181.274,-1
2,0.0087,0.0574,0.0607,0.0001,0.0043,0.8081,380.3771,3.5268,71405.7017,-1
2,0.0154,0.0837,0.0339,0.0006,0.064,0.7685,402.4082,3.415,72167.4625,-1
2,0.0014,0.294,0,0.0002,0.0008,0.7036,530.9822,2.9574,68781.0485,-1
2,0.2127,0.3517,0,0.0004,0.0047,0.4305,600.81,1.3435,74311.8333,-1
2,0.1558,0.3575,0.0118,0.0379,0.0241,0.4011,594.1996,1.5293,77031.8094,-1
2,0.0011,0.2978,0.0008,0.0001,0.0028,0.6965,537.3344,2.9099,68268.5147,-1
2,0.2077,0.3495,0,0.0001,0.0716,0.3711,586.0382,1.291,82877.5732,-1
2,0.002,0.2328,0.0046,0,0.0033,0.7528,489.3705,3.2928,71434.2801,-1
2,0.0013,0.1502,0.0033,0.4678,0.0048,0.3693,548.4789,2.5064,90687.6507,-1
2,0.0064,0.3544,0.0008,0.2775,0.0113,0.3489,573.9664,1.9585,85018.5669,-1
2,0.0023,0.2408,0,0,0.0047,0.7521,492.9823,3.2775,71329.382,-1
2,0.3364,0.4925,0.0421,0.0411,0.0074,0.0383,592.6934,1.2524,83844.4627,-1
2,0.0114,0.3572,0.0274,0.0103,0.0071,0.5592,630.9538,2.0793,63760.6523,-1
2,0.1637,0.1296,0.0035,0.3569,0.0151,0.3276,532.6672,2.3321,93962.2496,-1
2,0.3126,0.0646,0.0009,0.2719,0.0107,0.3384,456.9429,1.8664,94672.0738,-1
2,0.0016,0.3139,0,0.0018,0.0052,0.6774,563.6128,2.7756,66803.6991,-1
2,0.0623,0.364,0.0164,0.0875,0.0716,0.3818,587.7998,1.6452,78486.5415,-1
2,0.0015,0.2821,0,0.0014,0.0014,0.7136,517.581,3.0297,69497.0181,-1
2,0.1356,0.3553,0.0076,0.124,0.021,0.349,579.911,1.606,84701.8582,-1
2,0.0076,0.0868,0.0412,0.0007,0.0116,0.8108,396.7322,3.5124,71683.4378,-1
2,0.0119,0.3636,0.0415,0.0741,0.0521,0.4153,590.5138,1.7141,72464.1062,-1
2,0.0394,0.3084,0,0.3216,0.0126,0.318,550.3541,2.1526,89634.7692,-1
2,0.1404,0.3712,0.0095,0.0704,0.0409,0.358,582.3242,1.6259,82310.7041,-1
2,0.0742,0.3559,0.0029,0.1712,0.0124,0.3805,585.2812,1.5517,80895.3612,-1
2,0.0013,0.342,0.0008,0.0009,0.0018,0.6524,607.3761,2.6117,64877.426,-1
2,0.0018,0.3135,0.0001,0.0002,0.0039,0.6803,562.1581,2.7945,67015.1772,-1
2,0.0175,0.0951,0.0436,0.0007,0.0032,0.7962,406.0332,3.5038,71962.9968,-1
2,0.0019,0.215,0,0.0001,0.0044,0.7785,479.5176,3.3939,71599.5738,-1
2,0.2112,0.3629,0.0091,0,0.0018,0.4059,596.8495,1.3573,76350.1955,-1
2,0.0876,0.3532,0.0012,0.0432,0.0768,0.4368,602.26,1.505,73167.5676,-1
2,0.002,0.3085,0,0,0.004,0.6854,553.8746,2.8295,67409.8274,-1
2,0.0017,0.1307,0.0245,0.0002,0.0056,0.8126,434.868,3.4969,71570.7511,-1
2,0.0039,0.2065,0.0003,0.0001,0.0044,0.7845,474.7038,3.4125,71569.183,-1
2,0.2144,0.3608,0,0.0001,0.0416,0.3831,591.2331,1.304,80490.7754,-1
2,0.3147,0.5049,0.032,0.0137,0.089,0.0136,596.3182,1.0892,83057.7442,-1
